index:ID,yaocai,:LABEL
100021,匙羹藤Chí Gēnɡ Ténɡ武靴藤、金刚藤、蛇天角、饭杓藤,yaocai
100022,叉分蓼Chā Fēn Liǎo酸不溜、分枝蓼、叉枝蓼、酸姜,yaocai
100023,丛枝蓼Cónɡ Zhī Liǎo辣蓼、蓼辣草、簇蓼、辣蓼草、水红辣蓼、小辣蓼、红杆辣子、野辣子棵、白辣蓼草、钻之连、辣蓼、水红花蓼、野红辣蓼、家马蓼、小红辣蓼、旱辣寥、水红花、丛生蓼、马辣子,yaocai
100024,丛毛榕Cónɡ Máo Rónɡ铁牛入石、竹叶牛奶仔、母猪精、细叶牛奶树、石榕、奶汁草,yaocai
100025,叉枝鸦葱Chā Zhī Yā Cōnɡ苦葵鸦葱、羊奶及及、散枝鸦葱、分枝鸦葱,yaocai
100026,刺楸树皮Cì Qiū Shù Pí丁桐皮、钉皮、刺楸皮、山上虎、狼牙棒、海桐皮、野海桐皮、刺五加,yaocai
100027,丛毛榕根Cónɡ Máo Rónɡ Gēn母猪精、铁牛入石、小叶钻石风,yaocai
100028,拘那花Jū Nà Huā九芎、苞饭花、马铃花、蚊仔花,yaocai
100029,串珠耳叶苔Chuàn Zhū ěr Yè Tái列胞耳叶苔、地蓬草、树青苔,yaocai
100030,接气草Jiē Qì Cǎo召叶细辛、马蹄香、毛乌金、乌金七、花脸细辛。,yaocai
100031,接筋草Jiē Jīn Cǎo被单草、大鹅肠草、白老鸦肠、抽筋草、白筋骨草,yaocai
100032,姜黄Jiānɡ Huánɡ宝鼎香（《纲目》），黄姜（《生草药性备要》）。,yaocai
100033,姜黄草Jiānɡ Huánɡ Cǎo黄姜、老虎姜、猴节莲,yaocai
100034,姬蕨Jī Jué岩姬蕨、冷水蕨,yaocai
100035,嫁（虫戚）Jià （ Chónɡ Qī ）帽贝,yaocai
100036,九龙根Jiǔ Lónɡ Gēn龙须藤根（《浙江民间常用草药》），九龙藤根（《广西中草药》）。,yaocai
100037,九龙藤Jiǔ Lónɡ Ténɡ过岗龙、过江龙、邬郎藤、乌藤、串鼻藤、飞扬藤、山道藤、九龙根、羊蹄风、黄开口、子燕藤、五里藤、双木蟹、九牛燥、五花血藤、马脚藤、马蹄叶根,yaocai
100038,九龙藤叶Jiǔ Lónɡ Ténɡ Yè燕子尾、猪蹄叉、羊蹄叉、夜合草、千打捶、马蹄叶,yaocai
100039,井口边草Jǐnɡ Kǒu Biān Cǎo大叶井口边草、线鸡尾、楚箭草、凤尾草、玉龙草、狼牙草、双凤尾、金鸡尾、大叶凤尾、鸡爪凤尾草、背阴草、凤尾接骨草、爬岩龙、八字龙、黑枸杞,yaocai
100040,井底泥Jǐnɡ Dǐ Ní井底沙,yaocai
100041,井边茜Jǐnɡ Biān Qiàn小凤尾草、小凤尾、三叉草,yaocai
100042,井边草Jǐnɡ Biān Cǎo黑枸杞、凤尾草、井口边草,yaocai
100043,洪连Hónɡ Lián藏黄连、兔耳草,yaocai
100044,海人草Hǎi Rén Cǎo鹄菜、海仁草,yaocai
100045,活血丹Huó Xuè Dān遍地香、地钱儿、钹儿草、连钱草、铜钱草、白耳莫、乳香藤、九里香、半池莲、午年冷、遍地金钱、金钱早草、金钱 艾、也蹄草、透骨消、透骨风、过墙风、甾骨风、蛮子草、胡薄荷、穿穿墙草、团经药、风草、肺风草、金钱薄荷、十八缺草、江苏金钱草、一串钱、四方雷公根、马蹄筋骨草、破铜钱、对叶金钱草、疳取草、钻地风、接骨消,yaocai
100046,活血连Huó Xuè Lián墨七、土莎连（《药学学报》10：692，1965）。,yaocai
100047,海仙人掌Hǎi Xiān Rén Zhǎnɡ刺棒,yaocai
100048,一味药Yí Wèi Yào野槐树山皂角、铁皂角、山绿豆、一味药、紫花料梢、野绿豆、马料梢、夜闭草、绿豆柴、苦处喜、豆瓣木,yaocai
100049,一品红Yì Pǐn Hónɡ叶象花,yaocai
100050,一年蓬Yì Nián Pénɡ女菀、野蒿（《中国药植志》）、牙肿消、牙根消（《南京民间药草》）、千张草、墙头草、长毛草、地白菜、油麻草、白马兰（《浙江民间常用草药》）。,yaocai
100051,一扫光Yì Sǎo Guānɡ榆古兴噶尔布（藏名）。,yaocai
100052,一把伞Yì Bǎ Sǎn岩谷伞、茴心草、茴新草、小青药、阿收鸡、太阳针、回心草,yaocai
100053,一把篾Yì Bǎ Miè乌蔹莓，嘿吗野（傣名）,yaocai
100054,三七花Sān Qī Huā田七花,yaocai
100055,三七草Sān Qī Cǎo土三七（《秘方集验》），见肿消、乳香草、奶草（《纲目拾遗》），泽兰、叶下红（《辰溪县志》），散血草、和血丹（《简易草药》），天青地红（《植物名实图考》），破血丹（《分类草药性》），血牡丹（《天宝本草》），九头狮子草（《昆明药植调查报告》），白田七草（《中国土农药志》）。,yaocai
100056,三出叶委陵菜Sān Chū Yè Wěi Línɡ Cài草杜仲,yaocai
100057,三分三Sān Fēn Sān山茄子、大搜山虎、山野烟（《云南中草药》），野旱烟（《昆明民间常用草药》）。,yaocai
100058,三七Sān Qī山漆、金不换（《纲目》），血参（《医林纂要》），参三七（《本草便读》），田三七、田漆（《伪药条辨》），田七（《岭南采药录》）。,yaocai
100059,三加皮Sān Jiā Pí白竻根、刺三甲、风党竻、苦粉竻、刺三加、苦刺头、三甲皮、鸡脚菜、刺五爪、三叶五加、香藤刺、三五加、鹅掌竻,yaocai
100060,三匹叶Sān Pǐ Yè豆角柴,yaocai
100061,三匹箭Sān Pǐ Jiàn三叶半夏,yaocai
100062,三叉凤尾蕨Sān Chā Fènɡ Wěi Jué老泻风、凤尾草,yaocai
100063,三十六荡Sān Shí Liù Dànɡ老君须、鸡骨香、双飞蝴蝶、土细辛、藤叶细辛、哮喘草、关腰草、芒尾蛇、毛管细辛、三十六根、落地蜘蛛、落地金瓜、王劳伤、一支香、老虎须、白前、上树蜘蛛、千斤拔、小白薇、羊角草、藤细辛、落土香、白龙须、藤霸王、小霸王,yaocai
100064,三升米Sān Shēnɡ Mǐ华茶藨、大蔓茶藨,yaocai
100065,三叉苦Sān Chā Kǔ三桠苦、小黄散、鸡骨树、三丫苦、三枝枪、三叉虎,yaocai
100066,三台红花Sān Tái Hónɡ Huā三多、大罗伞、大常山、山利桐、山枇杷、三百棒、火山麻、火山麻、大叶土常山、三叉树,yaocai
100067,三叶委陵菜根Sān Yè Wěi Línɡ Cài Gēn山峰子根（《贵州草药》）。,yaocai
100068,三叶木蓝Sān Yè Mù Lán地蓝、野蓝。,yaocai
100069,三叶委陵菜Sān Yè Wěi Línɡ Cài三爪金、地蜘蛛（《贵州草药》），三片风、软梗蛇扭、三张叶、地风子、白里金梅、烂苦春、独立金蛋、三叶蛇子草、三叶蛇莓（《浙江民间常用草药》），铁秤砣、地蜂子（《四川常用中草药》）。,yaocai
100070,三叶枫Sān Yè Fēnɡ树五加,yaocai
100071,三叶槭根Sān Yè Qì Gēn三叶鸦枫。,yaocai
100072,三叶海棠Sān Yè Hǎi Tánɡ山茶果、野黄子、山楂子。,yaocai
100073,三叶莲Sān Yè Lián大木通,yaocai
100074,三叶铜钱草Sān Yè Tónɡ Qián Cǎo山酢浆草。,yaocai
100075,三叶青Sān Yè Qīnɡ金线吊葫芦、丝线吊金钟、三叶扁藤、石老鼠、小扁藤、石猴子、土经丸,yaocai
100076,三块瓦Sān Kuài Wǎ地海椒（《四川中药志》），老鸦酸（《湖南药物志》），麦穗七、钻地蜈蚣、断脚蜈蚣、大酸梅草（《陕西中草药》）。,yaocai
100077,三品一枝花Sān Pǐn Yì Zhī Huā米洋森、地沙,yaocai
100078,三尖杉Sān Jiān Shān桃松、山榧树,yaocai
100079,三张叶Sān Zhānɡ Yè三块瓦、三叶珍珠草、三支叶、节骨风、解毒草、跌打鼠,yaocai
100080,三方草Sān Fānɡ Cǎo白郎苔、亚大苔草,yaocai
100081,三条筋Sān Tiáo Jīn柴桂（《云南中草药》），小华草、香叶子树（《湖北中草药土方土法》）。,yaocai
100082,三对叶丹参Sān Duì Yè Dān Shēn小红参、小紫丹参、红根根药,yaocai
100083,三月泡Sān Yuè Pào企晃刺、野杜利、竖藤火梅刺、饭消扭、割田藨,yaocai
100084,三月花Sān Yuè Huā报春花、华紫报春花,yaocai
100085,三枝标Sān Zhī Biāo三羽新月蕨、蛇退步、入地蜈蚣,yaocai
100086,三棱草Sān Lénɡ Cǎo大三方草、三棱马尾、仙鹤草（《贵州民间药物》）。,yaocai
100087,三枝叶Sān Zhī Yè三叉叶、三爪皮、喜叶子,yaocai
100088,三爪金龙Sān Zhǎo Jīn Lónɡ小红藤、绿葡萄藤、喜马拉雅爬山虎、三爪风、大血藤。,yaocai
100089,三棱马尾Sān Lénɡ Mǎ Yǐ三棱草、大三方草、仙鹤草,yaocai
100090,三楞筋骨草Sān Lénɡ Jīn Gǔ Cǎo高杆珍珠茅,yaocai
100091,三楞草Sān Lénɡ Cǎo三轮草、细三棱、三棱草、水三棱，小三棱草,yaocai
100092,三消草Sān Xiāo Cǎo螃蟹花、金花草、菽草翘摇、白三叶、兰翘摇。,yaocai
100093,三棱Sān Lénɡ京三棱、红蒲根、光三棱、,yaocai
100094,三爪龙Sān Zhǎo Lónɡ狗脚迹。,yaocai
100095,三对节Sān Duì Jié三台红花、三台花、对节生、大叶土常山,yaocai
100096,三筒管Sān Tǒnɡ Guǎn白金古榄、百解薯、千金薯、竹叶薯、金银带、山总管。,yaocai
100097,三羽叉蕨Sān Yǔ Chā Jué鸡爪蕨、大叶入地蜈蚣、昏头鸡,yaocai
100098,三白草Sān Bái Cǎo水木通、五路白、白水鸡、白花照水莲、天性草、田三白、白黄脚、白面姑、三点白、白叶莲。,yaocai
100099,三白草根Sān Bái Cǎo Gēn三白根、塘边藕、地藕、百节藕、过塘藕、水莲藕、白莲藕、九节藕、天性草根。,yaocai
100100,三股筋Sān Gǔ Jīn香叶，楠木香、梅叶香、羊角香、香叶子,yaocai
100101,三色堇Sān Sè Jǐn蝴蝶花，游蝶花。,yaocai
100102,三角咪Sān Jiǎo Mī山板凳、毛叶板凳果、铁螃蟹。,yaocai
100103,三角草Sān Jiǎo Cǎo割鸡刀，三稔草,yaocai
100104,三角风Sān Jiǎo Fēnɡ爬山虎（《广州植物志》），异叶地锦、小叶红藤（《浙江天目山药植志》），吊岩风、三皮风（《贵州民间药物》）。,yaocai
100105,三花枪刀药根Sān Huā Qiānɡ Dāo Yào Gēn土巴戟,yaocai
100106,三轮蒿Sān Lún Hāo白头蒿（《贵州民间药物》）。,yaocai
100107,三钻七Sān Zuàn Qī三钻风、甘姜、香丽木、山胡椒,yaocai
100108,三角叶风毛菊Sān Jiǎo Yè Fēnɡ Máo Jú白牛蒡根、毛叶威灵仙、大叶防风、翻白叶、猪蹄叉、白紫菀,yaocai
100109,三钻风Sān Zuàn Fēnɡ山胡椒、三钻七,yaocai
100110,三角泡Sān Jiǎo Pào假苦瓜、假蒲达、包袱草、风船葛、鬼灯笼、三角灯笼、金丝苦楝、三角藤、倒地铃、棕子草、炮掌果、小果倒地铃、白花仔草、带藤苦楝、灯笼草。,yaocai
100111,上石田螺Shànɡ Shí Tián Luó金耳环、打不死、石钱、上树田螺,yaocai
100112,三角叶冷水花Sān Jiǎo Yè Lénɡ Shuǐ Huā玻璃草、油面草,yaocai
100113,三颗针Sān Kē Zhēn铜针刺,yaocai
100114,丝带蕨Sī Dài Jué木兰、木莲金,yaocai
100115,丝棉木Sī Mián Mù鸡血兰、白桃树、野杜仲、白樟树、南仲根。,yaocai
100116,上树咳Shànɡ Shù Hāi桂寄生、骨牌草、瓜核草、金锁匙,yaocai
100117,上天梯Shànɡ Tiān Tī定风筋、铜筷子、灯台七、七叶一枝花,yaocai
100118,丝毛毛毡草Sī Máo Mɑo Zhān Cǎo毛毡草,yaocai
100119,上山龙Shànɡ Shān Lónɡ蓝果野葡萄（《中国经济植物志》），大接骨丹、过山龙（《陕西中草药》），扁担藤（《贵州药植目录》）。,yaocai
100120,丝点地梅Sī Diǎn Dì Méi点地梅、喉咙草、报春花花,yaocai
100121,三面刀Sān Miàn Dāo金丝三七（《浙江天目山药植志》），帽辫七（《陕西草药》），开喉箭、茶七（《陕西中草药》）。,yaocai
100122,丝瓜蒂Sī Guā Dì甜丝瓜蒂,yaocai
100123,丝瓜Sī Guā天丝瓜、天罗、蛮瓜、绵瓜、布瓜、天罗瓜、鱼鲛、天吊瓜、纯阳瓜、天络丝、天罗布瓜、虞刺、洗锅罗瓜、天罗絮、纺线、天骷髅、菜瓜、水瓜、缣瓜、絮瓜、砌瓜、坭瓜。,yaocai
100124,丝瓜叶Sī Guā Yè虞刺叶,yaocai
100125,丝瓜子Sī Guā Zǐ乌牛子,yaocai
100126,书带蕨Shū Dài Jué晒不死、木莲金、九根索、马尾七、卷槽还阳、柳叶苇、树韭菜,yaocai
100127,丝绵木Sī Mián Mù明开夜合、桃叶卫矛、白杜、白桃树,yaocai
100128,丝茅七Sī Máo Qī鸦葱、茅草细辛、毛草七、倒扎草根、倒扎花、条参、水防风、仙茅参、猪尾巴、羊奶子、水风、独脚茅草、黄花地丁,yaocai
100129,伞杨Sǎn Yánɡ截萼黄槿、恒春黄槿。,yaocai
100130,丝瓜络Sī Guā Luò天萝筋、丝瓜网、丝瓜壳、瓜络、絮瓜瓤、天罗线、丝瓜筋、丝瓜瓤、千层楼、丝瓜布。,yaocai
100131,伞莎草Sǎn Suō Cǎo九龙吐珠,yaocai
100132,伤寒草Shānɡ Hán Cǎo夜牵牛、星拭草、寄色草、返魂香、消山虎、假咸虾、枝香草、红花一枝香、四眼草、天红草、拐棍参,yaocai
100133,使君子叶Shǐ Jūn Zǐ Yè水君叶,yaocai
100134,刷把草根Shuā Bǎ Cǎo Gēn怀胎草根,yaocai
100135,伸筋藤Shēn Jīn Ténɡ宽筋藤、无地生须（《广西中兽医药植》），青宽筋藤（《陆川本草》），砍不死（《南宁市药物志》），舒筋藤（广州部队《常用中草药手册》）。,yaocai
100136,伤寒头Shānɡ Hán Tóu细叶香茶菜、虫牙药、月风草、牛尾巴蒿、三叉金、三姐妹、三托艾、大箭根、老人风、牛尾草、三叶扫把、马鹿尾,yaocai
100137,伸筋草Shēn Jīn Cǎo石松（《本草拾遗》），过山龙（《滇南本草》），宽筋藤（《生草药性备要》），火炭葛（《本草求原》），金毛狮子草、金腰带、狮子草（《中药志》），狮子毛草（《中药材手册》），立筋草、舒筋草（《四川中药志》），铺筋草、抽筋草、分筋草、过筋草、地棚窝草（《重庆草药》），筋骨草（《陕西中药志》），绿毛伸筋、小伸筋、凤尾伸筋（《湖南药物志》），蜈蚣藤、大地毛公、缠身龙、猫藤草、通伸草、山猫儿、老虎垫坐、盘龙草、烂腰蛇、宽筋草、穿山龙（《浙江民间常用草药》）。,yaocai
100138,十二槐花Shí èr Huái Huā金槐、壶瓶花、荏子香,yaocai
100139,刷把草Shuā Bǎ Cǎo怀胎草、山柳叶菜、无风自动草,yaocai
100140,十三年花Shí Sān Nián Huā铜色紫云菜、铜色毛紫云菜,yaocai
100141,十两叶Shí Liǎnɡ Yè沙达木。,yaocai
100142,使君子根Shǐ Jūn Zǐ Gēn史君根,yaocai
100143,十大功劳叶Shí Dà Gōnɡ Láo Yè功劳叶,yaocai
100144,升登Shēnɡ Dēnɡ生等、森等,yaocai
100145,十大功劳Shí Dà Gōnɡ Láo黄天竹、土黄柏、刺黄柏、刺黄芩[四川]、木黄连,yaocai
100146,十八症Shí Bá Zhènɡ歪叶子兰、小麻疙瘩（《云南思茅中草药选》）。,yaocai
100147,升药底Shēnɡ Yào Dǐ灵药渣、红粉底,yaocai
100148,十大功劳根Shí Dà Gōnɡ Láo Gēn土黄柏、刺黄柏、刺黄芩、刺黄连、老鼠刺、土黄连。,yaocai
100149,双剪菜Shuānɡ Jiǎn Cài蓑参,yaocai
100150,双籽棕Shuānɡ Zǐ Zōnɡ鸡罗、野棕、山棕、矮葵,yaocai
100151,双翎草Shuānɡ Línɡ Cǎo瘦狗还阳草、紫油苏、小花香棵、扫把茶、酒药花、沙虫药,yaocai
100152,双股箭Shuānɡ Gǔ Jiàn小接骨丹、大一枝箭、毛叶威灵仙、红毛三七,yaocai
100153,双肾参Shuānɡ Shèn Shēn岩蒜、石花、短苞斑叶兰,yaocai
100154,双参Shuānɡ Shēn萝卜参、童子参、羊蹄参、山苦参、子母参（《云南中草药》），合合参（《云南中草药选》）。,yaocai
100155,参须Shēn Xū人参须,yaocai
100156,双肾子Shuānɡ Shèn Zǐ天鹅抱蛋、玉凤花根、对对参、双黄参、双肾参、老母鸡抱蛋、金鹅抱蛋、羊肾参、金刚如意、对人参、偏坠药、鸡卵参、山象牙、腰子七,yaocai
100157,升麻Shēnɡ Má周升麻（《本经》），周麻（《别录》），鸡骨升麻（陶弘景），鬼脸升麻（《纲目》），绿升麻（《医学广笔记》）。,yaocai
100158,双肾草Shuānɡ Shèn Cǎo肾阳草、鸡肾参、对对参,yaocai
100159,双花堇菜Shuānɡ Huā Jǐn Cài谷穗补、短距堇菜。,yaocai
100160,十姊妹Shí Zǐ Mèi七姊妹（《群芳谱》），姊妹花（《闽南民间草药》）。,yaocai
100161,双肾藤Shuānɡ Shèn Ténɡ夜关门、羊蹄甲、马蹄、羊蹄藤、猪腰藤、马鞍藤、鹰爪风、缺月藤、燕尾藤,yaocai
100162,双飞蝴蝶Shuānɡ Fēi Hú Dié蝴蝶草、鹞子草（《南宁市药物志》），蝴蝶风（《广西中药志》）。,yaocai
100163,双叶金枪Shuānɡ Yè Jīn Qiānɡ风帽羊耳兰,yaocai
100164,四叶参Sì Yè Cān山海螺、奶参、羊乳、轮叶党参,yaocai
100165,商陆花Shānɡ Lù Huā荡花（陶弘景）,yaocai
100166,唢呐花Suǒ Nà Huā金鸡豇豆、炮胀筒、马尾连、羊奶子、燕山红、羊尾草、黄鸡尾、马桶花、蜜糖花、千把刀、两头毛。撒拉花、破碗花、大花药、炮胀花、麻叶子、羊胡子草、岩喇叭花、大九加、城墙花,yaocai
100167,商陆Shānɡ Lù荡根、夜呼（《本经》），当陆（《本草经集注》），白昌（《开宝本草》），章柳根（《本草图经》），见肿消、山萝卜（《分类草药性》），水萝卜（《中国药植志》），白母鸡、长不老（《南京民间药草》），湿萝卜（《贵州民间方药集》），狗头三七（《药材资料汇编》），抓消肿、牛萝卜、春牛头（《四川中药志》），下山虎、牛大黄（《湖南药物志》），野萝卜（《中草药通讯》（1）：13，1973）。,yaocai
100168,使君子Shǐ Jūn Zǐ留求子（《南方草木状》），史君子（侯宁极《药诺》），五梭子（《药材资料汇编》），索子果（《南宁市药物志》），冬均子、病柑子（《中药材手册》）。,yaocai
100169,四叶细辛Sì Yè Xì Xīn四叶对、四块瓦、大四块瓦、四大天王、白毛七、红七。,yaocai
100170,四叶葎Sì Yè Lǜ四叶七、小锯锯藤、红蛇儿、天良草、蛇舌癀、四棱香草,yaocai
100171,四大天王Sì Dà Tiān Wánɡ大叶及己、四叶对、四大金刚、四块瓦。,yaocai
100172,四块瓦Sì Kuài Wǎ四大天王（《草木便方》），四儿风（《分类草药性》），四匹瓦（《民间常用草药汇编》）。,yaocai
100173,四季海棠Sì Jì Hǎi Tánɡ蚬肉海棠。,yaocai
100174,四季青Sì Jì Qīnɡ红冬青、大叶冬青,yaocai
100175,四川山矾Sì Chuān Shān Fán黄夹柴、灰灰树,yaocai
100176,四川苦丁茶Sì Chuān Kǔ Dīnɡ Chá苦丁茶,yaocai
100177,四念癀Sì Niàn Huánɡ龙吐珠、九龙吐珠（福建）。,yaocai
100178,四叶草Sì Yè Cǎo米拉拉藤、冷水丹、风车草、四方草、四叶葎、四角金、蛇舌癀、小锯锯藤、地胡椒、四叶蛇舌草、天良草,yaocai
100179,四川木蓝Sì Chuān Mù Lán山皮条,yaocai
100180,四方拳草Sì Fānɡ Quán Cǎo母草、四方草,yaocai
100181,四方蒿Sì Fānɡ Hāo沙虫药、四棱蒿、黑头草、白香薷、大香薷、滇香薷、鸡肝散、鸡骨柴,yaocai
100182,四棱筋骨草Sì Lénɡ Jīn Gǔ Cǎo箭羽草、箭羽舒筋草、筋骨草、假马鞭草,yaocai
100183,四方藤Sì Fānɡ Ténɡ宽筋藤、红宽筋藤、春根藤、伸筋藤（《陆川本草》），蚂蝗藤、软筋藤、风藤（《广西药植名录》），方藤、红四方藤（《广西中草药》）。,yaocai
100184,四楞筋骨草Sì Lénɡ Jīn Gǔ Cǎo箭羽筋骨草、箭羽草、舒艋箭羽草、筋骨草、四柑筋骨草、假马鞭草、四棱草,yaocai
100185,四方麻Sì Fānɡ Má山练草、四角草（《广西中兽医药植》），青鱼胆、四方青、四棱草（《湖南药物志》）。,yaocai
100186,四棱杆Sì Lénɡ Gǎn香茶菜、山苏子、猛一撒,yaocai
100187,四楞蒿Sì Lénɡ Hāo香紫苏、大香芝麻棵、土藿香、疳积散、野苏、理肺散,yaocai
100188,四时青Sì Shí Qīnɡ云实叶,yaocai
100189,四楞通Sì Lénɡ Tōnɡ钩藤、双钧藤、大通气、倒挂金钩、越南钩藤、四棱通,yaocai
100190,四照花果Sì Zhào Huā Guǒ癞头果、梅株果,yaocai
100191,四脚蛇Sì Jiǎo Shé草绿龙蜥,yaocai
100192,四轮香Sì Lún Xiānɡ野藿香,yaocai
100193,四角蒲桃Sì Jiǎo Pú Táo念劬蒲桃、山石榴,yaocai
100194,四里麻Sì Lǐ Má千斤桩,yaocai
100195,宿苞豆Sù Bāo Dòu野豌豆、中国宿苞豆,yaocai
100196,宿根亚麻Sù Gēn Yà Má豆麻、多年生亚麻。,yaocai
100197,娑罗子Suō Luó Zǐ莎婆子（《百草镜》），武吉（《杨春涯经验方》），苏罗子（《药材资料汇编》），开心果（《江苏植药志》），索罗果（《陕西中药志》），梭椤子（《陕西中草药》）。,yaocai
100198,实葫芦Shí Hú Lu佛顶珠、野王瓜。,yaocai
100199,声色草Shēnɡ Sè Cǎo辛苦草、过饥草、广白头翁、满天星草、白头康、（虫寻）仔草、疳积草,yaocai
100200,射尿（虫另）Shè Niào （ Chónɡ Lìnɡ ）青竹（虫另）、游蛙、油（虫另）,yaocai
100201,射干Shè Gān乌扇、乌蒲（《本经》），黄远（《吴普本草》），夜干（《本草经集注》），乌要、乌吹、草姜（《别录》），鬼扇（《补缺肘后方》），风翼（《本草拾遗》），仙人掌、紫金牛（《土宿本草》），野萱花、扁竹（《纲目》），地萹竹（《镇江府志》），较剪草、黄花扁蓄（《生草药性备要》），开喉箭、黄知母（《分类草药性》），较剪兰、剪刀梏（《广州植物志》），冷水丹、冷水花（《南京民间药草》），扁竹兰（《中药形性经验鉴别法》），金蝴蝶、金绞剪（《浙江中药手册》），紫良姜、铁扁担（《江苏植药志》），六甲花、扇把草、鱼翅草（《,yaocai
100202,屎咕咕Shǐ Gū Gū鸟鴔、鸡冠鸟、山和尚、呼哱哱、臭姑鸪,yaocai
100203,射尿拐Shè Niào Guǎi变色树蛙（薛德熵《系统动物学》），青竹拐（《陆川本草》），斑腿树蛙（《中国动物图谱·两栖动物》）。,yaocai
100204,山一笼鸡Shān Yì Lónɡ Jī野古蓝；白背草；一炉香；熟麻,yaocai
100205,山丹Shān Dān红百合、连珠（《日华子本草》），川强瞿（《通志》），红花菜（《纲目》），红花百合（《随息居饮食谱》），山百合（《山东中草药手册》）。,yaocai
100206,射鸡尾Shè Jī Wěi人头发、飞惊草、铁包针（《贵州民间方药集》），青根、大石韦、剑刀草、大金刀、青叶红、叶上子、双蒜子、大骨牌草、七星剑、骨牌草、岩红豆（《湖南药物志》）。,yaocai
100207,山乌桕根Shān Wū Jiù Gēn山柳、山柳乌桕、红心乌桕。,yaocai
100208,山乌桕Shān Wū Jiù红乌桕、红叶乌桕、山柳乌桕,yaocai
100209,山佛手Shān Fó Shǒu小桔公。,yaocai
100210,山佩兰Shān Pèi Lán白头婆、佩兰、南佩兰、秤杆草、搬倒甑、野升麻、麻秤杆、秤杆升麻、红升麻、土升麻、泽兰、血升麻、细黑升麻、佩兰,yaocai
100211,山刺柏Shān Cì Bǎi叶如针、刺人、故称刺柏、刺松,yaocai
100212,山乌龟Shān Wū Guī地乌龟、吊金龟、金线吊乌龟。,yaocai
100213,山五味子Shān Wǔ Wèi Zǐ老米酒、冷饭子、糯米果、冷饭团,yaocai
100214,山吴萸Shān Wú Yú五除叶、茶辣、牛纠树、树幽子,yaocai
100215,山半夏Shān Bàn Xià土半夏、土附子、土田七、小黑牛、马蹄跌打,yaocai
100216,山吴萸果Shān Wú Yú Guǒ五除叶、山吴萸,yaocai
100217,山刺梨Shān Cì Lí刺梨根，色瓦（藏名）。,yaocai
100218,山地豆Shān Dì Dòu假花生、大叶青、异果山绿豆、稗豆,yaocai
100219,山壳骨Shān Ké Gǔ小驳骨,yaocai
100220,山大刀根Shān Dà Dāo Gēn刀斧伤根（《陆川本事》）。,yaocai
